,MAKE_MODEL,ENGINE_TYPE/BATTERY_TYPE,ENGINE_DISPLACEMENT(CC)/MOTOR_POWER(KW),TRANSMISSION_TYPE,FUEL_TYPE,MILEAGE/Range,TANK_CAPACITY/BATTERY_CAPACITY,FRONT_SUSPENSION,REAR_SUSPENSION,Entertainment_Details
72,Mahindra XUV700,mHAWK,2198 cc,Automatic,Diesel,16.57 kmpl,60 Litres,McPherson Strut Independent Suspension with FSD and Stabilizer bar,Multi-link Independent Suspension with FSD and Stabilizer bar,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Wireless Android Auto & Apple CarPlay, AdrenoX Connect with 1 yr free subscription, 3D Audio with 12 Speakers'}"
73,Mahindra Bolero,mHAWK75,1493 cc,Manual,Diesel,16 kmpl,60 Litres,FS Coil Spring,Rigid Leaf Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
74,Mahindra XUV 3XO,mStallion (TGDi) engine,1197 cc,Automatic,Petrol,18.2 kmpl,42 Litres,McPherson Strut with Anti-roll Bar,Twist Beam Suspension with Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'Twin HD 26.03 cm Infotainment, Harman Kardon Premium Audio with Amplifier & Sub-woofer, Wireless Android Auto And Apple CarPlay, Adrenox Connect'}"
75,Mahindra Scorpio N,mHawk (CRDi),2198 cc,Automatic,Diesel,15.42 kmpl,57 Litres,Double Wishbone Suspension with Coil over Shocks with FDD & MTV-CL,Pentalink Suspension with WATT’s Linkage with FDD & MTV-CL,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Adrenox Connect, Alexa Built-in With 1 year Subscription, SONY 3D Immersive Audio 12 Speakers With Dual Channel Sub-woofer, what3words - Alexa Enabled, Wireless Android Auto & Apple CarPlay Compatibility'}"
76,Mahindra Bolero Neo,mHAWk100,1493 cc,Manual,Diesel,17.29 kmpl,50 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': '2', 'Additional Features': 'Music player with USB + BT (touchscreen infotainment, bluetooth, USB & AUX)'}"
77,Mahindra XUV400 EV,Lithium-Ion,100 kW,Automatic,Electric,456 km,39.4 kWh,MacPherson Strut with Anti Roll Bar,Twist Beam with Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': '17.78 cm Touch Screen Infotainment System with Navigation & 4 Speakers, Bluesense+ (Exclusive app with 60+class leading connectivity features), Smart Watch Connectivity, Smart Steering System, Voice Commands & SMS Read Out'}"
78,Mahindra Bolero Camper,m2DiCR 4 Cyl 2.5L TB,2523 cc,Manual,Diesel,N/A,57 Litres,Coil Springs,Rigid axle with leaf spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
79,Mahindra Bolero PikUp ExtraLong,m2DiCR 4 cly 2.5L TB,2523 cc,Manual,Diesel,N/A,57 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
80,Mahindra Bolero Maxitruck Plus,MSI 2500 CNG,2523 cc,Manual,CNG,17.2 km/kg,45 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
81,Mahindra Bolero Neo Plus,2.2L mHawk,2184 cc,Manual,Diesel,N/A,60 Litres,Double Wish-Bone with Coil Spring and Stabilizer Bar,Multi-Link with Coil Spring and Stabilizer Bar,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': '2', 'Additional Features': 'N/A'}"
82,Mahindra BOLERO PikUP ExtraStrong,N/A,1298 cc,Manual,CNG,N/A,N/A,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
83,Honda City,i-VTEC,1498 cc,Automatic,Petrol,18.4 kmpl,40 Litres,McPherson Strut with Coil Spring,Torsion beam with Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '4', 'Additional Features': 'Next Gen Honda Connect with Telematics Control Unit (TCU),Weblink,Wireless Smartphone Connectivity (Android Auto, Apple CarPlay),Remote Control by Smartphone Application via Bluetooth®,'}"
84,Honda Amaze,i-VTEC,1199 cc,Automatic,Petrol,18.3 kmpl,35 Litres,"McPherson Strut, Coil Spring","Torsion Bar, Coil Spring","{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Weblink,'}"
85,Honda City Hybrid,i-VTEC,1498 cc,Automatic,Petrol,27.13 kmpl,40 Litres,McPherson Strut with Coil Spring,Torsion beam with Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '4', 'Additional Features': '(Smart Connectivity Next Gen Honda Connect with Telematics Control Unit,IPS Display with Optical Bonding Display Coating for Reflection Reduction,Remote Control by Smartphone Application via Bluetooth),Weblink,Multi Function Driver Information Interface,'}"
86,Honda Elevate,i-VTEC,1498 cc,Automatic,Petrol,16.92 kmpl,40 Litres,MacPherson Strut With Coil Spring,Torsion Beam With Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '4', 'Additional Features': '(Wireless)Apple CarPlay Android Auto,Advanced Touchscreen Display Audio,IPS Display,AM/FM Digital Radio Tuner,MP3/WAV,IPod/I Phone,Remote Control By Smartphone Application Via Bluetooth,Exclusive Sub-Display Area With Clock,Calendar,Compass,Quick Settings,Assistant Side View Monitor,Assistant Rear View Monitor,Range & Fuel Economy Information,Average Speed & Time Information,G Meter Display,Display Contents & Vehicle Settings Customization,Safety Support Settings,Vehicle Information & Warning Message Display,Rear Parking Sensor Proximity Display,Rear Seat Reminder,Steering Scroll Selector Selector Wheel And Meter Control Switch,Illumination Control Switch,Fuel Gauge Display With Fuel Reminder Warning,Weblink'}"
87,MG Hector,2.0L Turbocharged Diesel,1956 cc,Manual,Diesel,15.58 kmpl,60 Litres,Mcpherson strut + coil springs,Beam assemble + coil spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': '2', 'Additional Features': 'Premium Sound System By Infinity,Wireless Android Auto + Apple Carplay,Advanced UI with Widget customization of homescreen with multiple Homepages,Customisable Widget Color with 7 color palette for homepage of Infotainment screen,JIO Voice Recognition with advanced Voice commands for Weather, Cricket, Calculator, Clock, Date/Day, Horoscope, Dictionary, News & Knowledge,Headunit Theme Store with Downloadable Themes,Preloaded Greeting Message On Entry (with customised message option),Birthday Wish on Headunit (With Customisable Date option),Customisable Lock Screen Wallpaper'}"
88,MG Astor,220TURBO,1349 cc,Automatic,Petrol,14.34 kmpl,45 Litres,MacPherson Strut,Torsion Beam,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'i-SMART 2.0 with Advanced UI,Head Turner: Smart Movement in Direction of Voice Interactive Emojis Including Greetings, Festival Wishes and Jokes,Head Turner: Smart Movement in Direction of Voice Interactive Emojis,JIO Voice Recognition with advanced Voice commands for Weather, Cricket,Calculator, Clock, Date/Day, Horoscope, Dictionary, News & Knowledge Including Greetings, Festival Wishes and Jokes,Jio Voice Recognition in Hindi,Enhanced Chit-Chat Interaction,Voice Commands Support to Control Skyroof, AC, Music, FM, Calling & More,Advanced UI with Widget customization of homescreen with multiple Homepages,Digital Key With Key Sharing Function,Customisable Lockscreen Wallpaper,Birthday Wish on Headunit (with customisable date option),Headunit Theme Store with Downloadable Themes,Preloaded Greeting Message On Entry (with customised message option)'}"
89,MG Gloster,DIESEL 2.0L TWIN TURBO,1996 cc,Automatic,Diesel,N/A,75 Litres,Double-wishbone Suspension,Multi-link Double Suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'High Quality Audio System - 12 Speakers (Including Subwoofer & Amplifier),Customizable Lock Screen Wallpaper'}"
90,MG Comet EV,Lithium-Ion,41.42 kW,Automatic,Electric,230 km,17.3 kWh,MacPherson suspension,Multi link suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Bluetooth Music & Calling,Wireless Android Auto & Apple CarPlay,i-Smart with 55+ Connected car features'}"
91,MG Hector Plus,2.0L Turbocharged,1956 cc,Manual,Diesel,15.58 kmpl,60 Litres,Mcpherson strut + coil spring,Beam assemble + coil spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'Premium Sound System By Infinity,Advanced UI with Widget customization of homescreen with multiple Homepages,Customisable Widget Color with 7 color palette for homepage of Infotainment screen,Amplifier(1),Audio, AC & Mood Light in Car Remote Control in i-Smart App,100+ Voice Commands to Control Sunroof, AC and More,Voice Commands to Control Ambient Lights,Online Music App,Navigation Voice Guidance in 5 Indian Languages,Navigation Group Travelling Mode,MG Weather,Birthday Wish on Headunit (With Customisable Date Option),Customisable Lock Screen Wallpaper'}"
92,MG ZS EV,Lithium-ion,129 kW,Automatic,Electric,461 km,50.3 kWh,MacPherson Strut,Torsion Beam,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'Wireless Android Auto & Apple Carplay,5 USB Ports with 2 Type-C Ports,Widget Customisation Of Homescreen With Multiple Pages,Customisable Widget Color with 7 color palette for homepage of Infotainment screen,Headunit Theme store with New EVERGREEN Theme,Quiet Mode,Customisable Lock Screen Wallpaper,Birthday Wish On Headunit (With Customisable Date Option)VR Commands to Control Car functions,'}"
93,Skoda Kushaq,1.5 TSI Petrol,1498 cc,Automatic,Petrol,18.86 kmpl,50 Litres,McPherson suspension with lower triangular links and stabiliser bar,Twist Beam Axle,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'Infotainment System with SKODA Play Apps, Wireless Smartlink-Apple Carplay & Android Auto, SKODA Sound System with 6 High Performance Speakers & Subwoofer'}"
94,Skoda Slavia,1.5 TSI Petrol,1498 cc,Automatic,Petrol,19.36 kmpl,45 Litres,McPherson suspension with lower triangular links and stabiliser bar,Twist Beam Axle,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': '4', 'Additional Features': '25.4 cm Infotainment System with Skoda Play Apps, Wireless Smartlink-Apple Carplay & Android Auto, Skoda Sound System with 8 High Performance Speakers & Subwoofer - 380 W'}"
95,Skoda Kodiaq,Turbocharged Petrol Engine,1984 cc,Automatic,Petrol,13.32 kmpl,58 Litres,McPherson suspension with lower triangular links and torsion stabiliser,"Multi-element axle, with longitudinal and transverse links, with torsion stabiliser","{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': '20.32 cm ŠKODA Infotainment System with Proximity Sensor & navigation System,CANTON Sound System with 12 high performance speakers & subwoofer with 625W output'}"
96,Skoda Superb,2.0 TSI Engine,1984 cc,Automatic,Petrol,N/A,66 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Central infotainment system with proximity sensor'}"
97,Jeep Compass,2.0 L Multijet II Diesel,1956 cc,Automatic,Diesel,14.9 kmpl,60 Litres,McPherson Strut with Lower Control Arm,Multi Link Suspension with Strut Assembly,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'Wireless Android Auto & Apple Car Play,Alpine speaker system with Amplifier & Subwoofer,Intergrated Voice Commands & Navigation'}"
98,Jeep Wrangler,2.0L Gme T4 Di,1995 cc,Automatic,Petrol,10.6 kmpl,N/A,Heavy-Duty,Heavy-Duty,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Premium 9 Speaker Audio (Alpine) System'}"
99,Jeep Meridian,2.0 L Multijet Diesel,1956 cc,Automatic,Diesel,N/A,60 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': '9 High Performance Alpine Speakers Connectivity,Integrated Navigation,Integrated Voice Commands'}"
100,Jeep Grand Cherokee,2.0L GME T4,1995 cc,Automatic,Petrol,N/A,87 Litres,Multi-link independent (all aluminum arms and knuckles),Multi-link independent (all aluminum arms and knuckles),"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Front passenger interactive display,Alpine speaker amplified system with subwoofer'}"
101,Renault KWID,1.0 SCe,999 cc,Automatic,Petrol,22.3 kmpl,28 Litres,Mac Pherson strut with lower Transverse link,Twist beam suspension with coil spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'push-to-talk, video playback (via USB), roof mic, white multimedia surround, dual tone option - mystery black roof with ice cool white body colour'}"
102,Renault Triber,ENERGY Engine,999 cc,Automatic,Petrol,18.2 kmpl,40 Litres,Macpherson strut with lower triangle & coil spring,Torsion beam axle,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'on-board computer,'}"
103,Renault Kiger,1.0L Turbo,999 cc,Automatic,Petrol,18.24 kmpl,40 Litres,MacPherson strut with lower transverse link,Twist beam suspension with coil spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': '20.32 cm display link floating touchscreen,Wireless smartphone replication,3D sound by ARKAMYS,2 tweeters'}"
104,Nissan Magnite,1.0L HRAO,999 cc,Automatic,Petrol,17.4 kmpl,40 Litres,Mac Pherson strut with Lower Transverse link,Twin tube telescopic shock absorber,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': ""WhatsApp Notifications Read Outs,iPOD Support,Wi-Fi Connect for AA & CP,Around View Monitor Display on Screen,Rear Camera with Static Guidelines Display,Simultaneous Rear & Front Side View Display,Bird's Eye View,NissanConnect with 50+ Features & Smartwatch Connectivity,Telephone Connectivity,TECH PACK Optional (Wireless Charger)Tech Pack Optional (High-end Speakers)""}"
105,Nissan X-Trail,KR15 VC-TURBO,1498 cc,Automatic,Petrol,N/A,55 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': '2', 'Additional Features': 'N/A'}"
106,Volkswagen Virtus,1.5L TSI EVO with ACT,1498 cc,Automatic,Petrol,19.62 kmpl,45 Litres,Mc-Pherson suspension and stabiliser bar,Twist beam axle,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Valet mode, Apps- SygicTM navigation, GaanaTM, Booking.comTM, AudiobooksTM, BBC NewsTM, MyVolkswagen Connect - Live tracking, Geo fence, Time fence, Driving behaviour, SOS emergency call, Safety alerts, Trip analysis, Documents due date reminder, Sporty aluminum pedals'}"
107,Volkswagen Taigun,1.5L TSI EVO with ACT,1498 cc,Automatic,Petrol,19.01 kmpl,N/A,McPherson suspension and stabiliser bar,Twist beam axle,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Valet mode,ygicTM navigation, offline, GaanaTM, Booking.comTM, AudiobooksTM, 25.65 cm VW Play Touchscreen infotainment with Apps'}"
108,Volkswagen Tiguan,2.0 TSI,1984 cc,Automatic,Petrol,12.65 kmpl,60 Litres,Independent suspension with coil spring,Independent suspension by four-link axle,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Simultaneous pairing of 2 compatible mobile devices,Car information display'}"
109,Citroen Basalt,Puretech 110,1199 cc,Automatic,Petrol,18.7 kmpl,45 Litres,MacPherson suspension,Rear twist beam,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': '2', 'Additional Features': 'MyCitroën Connect With 40 Smart Features'}"
110,Citroen C3,1.2L PureTech 110,1199 cc,Manual,Petrol,19.3 kmpl,30 Litres,MacPherson Strut with Coil Spring,Rear Twist Beam with Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'C-Buddy Personal Assistant Application'}"
111,Citroen C3 Aircross,PURETECH 110,1199 cc,Automatic,Petrol,17.6 kmpl,45 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '2', 'Additional Features': 'Citroen Connect Touchscreen, Mirror Screen (Apple CarPlay™ And Android Auto™) Wireless Smartphone Connectivity, MyCitroen Connect With 35 Smart Features, C - Buddy Personal Assistant Application'}"
112,Citroen eC3,Lithium-Ion,41.92KW,Automatic,Electric,320 km,29.2 kWh,MacPherson Strut with Coil Spring,Rear Twist Beam with Coil Spring,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': ""Citroën Connect Touchscreen,Mirror Screen,Wireless Smartphone Connectivity,MyCitroën Connect, C - BUDDY' Personal Assistant Application,Smartphone Storage - Rear Console, Smartphone Charger Wire Guide on Instrument Panel,USB Port - Front 1 + Rear 2 Fast Charger""}"
113,Citroen C5 Aircross,DW10 FC,1997 cc,Automatic,Diesel,17.5 kmpl,52.5 Litres,Macpherson Strut Suspension with Double Progressive Hydraulic Cushions-Compression and Rebound,Twist Beam Axle with Single Progressive Hydraulic Cushions -Compression,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Mirror Screen (Apple Carplay™ And Android Auto) - Smartphone Connectivity'}"
114,Aston Martin DB12,M177 biturbo V8,3982 cc,Automatic,Petrol,N/A,78 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Mirror Link', 'Tweeters': 'N/A', 'Additional Features': '""390-watt 11 Speaker Aston Martin Audio System, Bluetooth mobile phone connectivity with audio streaming, Satellite navigation system, USB ports (x2),12v charging socket, optional :- Bowers & Wilkins 15 SPEAKERS, DOUBLE AMPLIFIED AND 1170w OF IMMERSIVE SOUND , ALUMINIUM DOUBLE DOME TWEETERS AND CONTINUUM® MIDRANGE SPEAKERS ,DEDICATED 3D HEADLINE SPEAKERS AND POWERFUL SUBWOOFER,""'}"
115,Aston Martin Vantage,M177 AMG,3998 cc,Automatic,Petrol,N/A,73 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
116,Aston Martin DBX,"Quad Overhead Cam,4 litre twin turbo V8",3982 cc,Automatic,Petrol,N/A,85 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay, SD Card Reader', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
117,Audi Q5,2.0 L TFSI,1984 cc,Automatic,Petrol,13.47 kmpl,70 Litres,5-link front axle; tubular anti-roll bar,5-link rear axle; tubular anti-roll bar,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': '3D Premium Sound System, centre speaker and subwoofer, with a 16-channel amplifier the output of 755 watts'}"
118,Audi Q3,40 TFSI quattro S tronic,1984 cc,Automatic,Petrol,N/A,62 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
119,Audi Q7,3.0L V6 TFSI,2995 cc,Automatic,Petrol,N/A,N/A,Air Suspension,Air Suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': '2 USB ports with charging function in rear, Dual screen MMI navigation plus with MMI touch response B&O premium sound system, Bang & Olufsen premium sound system with 3D sound, remarkable 730 W output, coupled with 3D sound technology'}"
120,Audi A4,2.0 L TFSI petrol engine,1984 cc,Automatic,Petrol,N/A,54 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'Audi Virtual Cockpit Plus, Audi Phone Box with wireless charging, 25.65 cm Central MMI Touch Screen, MMI Navigation plus with MMI touch response, Audi Sound System, Audi Smartphone Interface,'}"
121,Audi A6,In Line Petrol Engine,1984 cc,Automatic,Petrol,14.11 kmpl,73 Litres,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay, SD Card Reader', 'Tweeters': 'N/A', 'Additional Features': 'Electrically Extending High-Resolution 20.32cm Colour Display\n3D Map Representation With Display Of Lots Of Sightseeing Information and City Models\nDetailed Route Information: Map Preview, Choice of Alternative Routes, Lane Recommendations, Motorway Exits, Detailed Junction Maps\nAccess To Smartphone Voice Control\nDriver Information System With 17.78cm Colour Display\nBose Surround Sound System\nDVD player\nAudi sound system\nSubwoofers'}"
122,Audi Q8,V6,2995 cc,Automatic,Petrol,N/A,N/A,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
123,Audi RS5,V6,2894 cc,Automatic,Petrol,8.8 kmpl,58 Litres,RS Sports,RS Sports,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'Audi virtual cockpit plus,Audi sound system'}"
124,Audi e-tron,N/A,N/A,Automatic,Electric,484 km,95 kWh,5-link front axle; tubular anti-roll bar; air spring suspension,5-link rear axle; tubular anti-roll bar; air spring suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
125,Audi e-tron GT,Lithium ion,390 kW,Automatic,Electric,388-500 km,93 kWh,Air Suspension,Air Suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
126,Audi RS e-tron GT,Lithium-Ion,475 kW,Automatic,Electric,401-481 km,93 kWh,Air Suspension,Air Suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
127,Audi A8 L,55 TFSI quattro tiptronic,2995 cc,Automatic,Petrol,N/A,82 Litres,Five-link front axle; tubular anti-roll bar; air spring suspension,Five-link front axle; tubular anti-roll bar; air spring suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
128,Audi Q3 Sportback,40 TFSI quattro,1984 cc,Automatic,Petrol,N/A,N/A,N/A,N/A,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
129,Audi Q8 e-tron,Twin Electric Motor,402.3 kW,Automatic,Electric,582 km,106 kWh,Adaptive Air,Adaptive Air,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': '-1', 'Additional Features': 'N/A'}"
130,Audi Q8 Sportback e-tron,Twin Electric Motor,402.3,Automatic,Electric,600 km,114 kWh,Adaptive Air,Adaptive Air,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': '-1', 'Additional Features': 'Bang 7 olufsen Premium 3D Sound System'}"
131,Audi RS Q8,V8 Twin Turbo Engine,3998 cc,Automatic,Petrol,8.26 kmpl,85 Litres,Sport Adaptive Air Suspension,Sport Adaptive Air Suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
132,Audi S5 Sportback,3.0 L V6 TFSI Petrol engine,2994 cc,Automatic,Petrol,7.6 kmpl,58 Litres,S Sports suspension,S Sports suspension,"{'Touch Screen size': 'N/A', 'Connectivity': 'Android Auto, Apple CarPlay', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
133,Bajaj Qute (RE60),N/A,216 cc,Manual,CNG,43 km/kg,35 Litres,"Independent Suspension With Twin Leading Arm,Coil Over Shock Absorber & Anti Roll Bar",Independent Suspension With Semi Trailing Arm And Coil Over Shock Absorber,"{'Touch Screen size': 'N/A', 'Connectivity': 'N/A', 'Tweeters': 'N/A', 'Additional Features': 'N/A'}"
